Range_mm,Energy_MeV
0,0
1,9.12
2,12.938931
3,16.337209
4,19.244186
5,21.753555
6,24.123223
7,26.270161
8,28.286290
9,30.263158
10,32.017544
11,33.771930
12,35.470219
13,37.037618
14,38.605016
15,40.156250
16,41.576705
17,42.997159
18,44.417614
19,45.764249
20,47.059585
21,48.354922
22,49.650259
23,50.875300
24,52.074341
25,53.273381
26,54.472422
27,55.623608
28,56.737194
29,57.850780
30,58.964365
31,60.073069
32,61.116910
33,62.160752
34,63.204593
35,64.248434
36,65.275591
37,66.259843
38,67.244094
39,68.228346
40,69.212598
41,70.185874
42,71.115242
43,72.044610
44,72.973978
45,73.903346
46,74.832714
47,75.724382
48,76.607774
49,77.491166
50,78.374558
51,79.257951
52,80.134907
53,80.978078
54,81.821248
55,82.664418
56,83.507589
57,84.350759
58,85.185185
59,85.990338
60,86.795491
61,87.600644
62,88.405797
63,89.210950
64,90.015456
65,90.788253
66,91.561051
67,92.333849
68,93.106646
69,93.879444
70,94.652241
71,95.408618
72,96.151560
73,96.894502
74,97.637444
75,98.380386
76,99.123328
77,99.866270
78,100.587393
79,101.303725
80,102.020057
81,102.736390
82,103.452722
83,104.169054
84,104.885387
85,105.580110
86,106.270718
87,106.961326
88,107.651934
89,108.342541
90,109.033149
91,109.723757
92,110.401070
93,111.069519
94,111.737968
95,112.406417
96,113.074866
97,113.743316
98,114.411765
99,115.077720
100,115.725389
101,116.373057
102,117.020725
103,117.668394
104,118.316062
105,118.963731
106,119.611399
107,120.250000
108,120.875000
109,121.500000
110,122.125000
111,122.750000
112,123.375000
113,124.000000
114,124.625000
115,125.243902
116,125.853659
117,126.463415
118,127.073171
119,127.682927
120,128.292683
121,128.902439
122,129.512195
123,130.119048
124,130.714286
125,131.309524
126,131.904762
127,132.500000
128,133.095238
129,133.690476
130,134.285714
131,134.880952
132,135.465116
133,136.046512
134,136.627907
135,137.209302
136,137.790698
137,138.372093
138,138.953488
139,139.534884
140,140.112360
141,140.674157
142,141.235955
143,141.797753
144,142.359551
145,142.921348
146,143.483146
147,144.044944
148,144.606742
149,145.166667
150,145.722222
151,146.277778
152,146.833333
153,147.388889
154,147.944444
155,148.500000
156,149.055556
157,149.611111
158,150.161290
159,150.698925
160,151.236559
161,151.774194
162,152.311828
163,152.849462
164,153.387097
165,153.924731
166,154.462366
167,155.000000
168,155.526316
169,156.052632
170,156.578947
171,157.105263
172,157.631579
173,158.157895
174,158.684211
175,159.210526
176,159.736842
177,160.257732
178,160.773196
179,161.288660
180,161.804124
181,162.319588
182,162.835052
183,163.350515
184,163.865979
185,164.381443
186,164.896907
187,165.404040
188,165.909091
189,166.414141
190,166.919192
191,167.424242
192,167.929293
193,168.434343
194,168.939394
195,169.444444
196,169.949495
197,170.445545
198,170.940594
199,171.435644
200,171.930693
201,172.425743
202,172.920792
203,173.415842
204,173.910891
205,174.405941
206,174.900990
207,175.388350
208,175.873786
209,176.359223
210,176.844660
211,177.330097
212,177.815534
213,178.300971
214,178.786408
215,179.271845
216,179.757282
217,180.238095
218,180.714286
219,181.190476
220,181.666667
221,182.142857
222,182.619048
223,183.095238
224,183.571429
225,184.047619
226,184.523810
227,185.000000
228,185.467290
229,185.934579
230,186.401869
231,186.869159
232,187.336449
233,187.803738
234,188.271028
235,188.738318
236,189.205607
237,189.672897
238,190.138889
239,190.601852
240,191.064815
241,191.527778
242,191.990741
243,192.453704
244,192.916667
245,193.379630
246,193.842593
247,194.305556
248,194.768519
249,195.225225
250,195.675676
251,196.126126
252,196.576577
253,197.027027
254,197.477477
255,197.927928
256,198.378378
257,198.828829
258,199.279279
259,199.729730
260,200.178571
261,200.625000
262,201.071429
263,201.517857
264,201.964286
265,202.410714
266,202.857143
267,203.303571
268,203.750000
269,204.196429
270,204.642857
271,205.087719
272,205.526316
273,205.964912
274,206.403509
275,206.842105
276,207.280702
277,207.719298
278,208.157895
279,208.596491
280,209.035088
281,209.473684
282,209.912281
283,210.344828
284,210.775862
285,211.206897
286,211.637931
287,212.068966
288,212.500000
289,212.931034
290,213.362069
291,213.793103
292,214.224138
293,214.655172
294,215.085470
295,215.512821
296,215.940171
297,216.367521
298,216.794872
299,217.222222
300,217.649573
